id,student_id,route_id,boarding_stop,academic_year,pass_type,status
bus-alloc-00076,STU-00555,route-02,Dilsukhnagar,2022-2026,semester,active
bus-alloc-00077,STU-01205,route-07,Dundigal,2024-2028,annual,active
bus-alloc-00078,STU-01008,route-05,Kandlakoya,2022-2026,annual,active
bus-alloc-00079,STU-01273,route-08,Alwal,2024-2028,semester,active
bus-alloc-00080,STU-02004,route-01,Yapral,2022-2026,annual,active
bus-alloc-00081,STU-01118,route-06,Medchal Market,2023-2027,semester,active
bus-alloc-00082,STU-01619,route-02,LB Nagar,2024-2028,annual,active
bus-alloc-00083,STU-02148,route-09,Jeedimetla,2023-2027,annual,active
bus-alloc-00084,STU-00864,route-01,Trimulgherry,2025-2029,annual,active
bus-alloc-00085,STU-03168,route-08,Lalapet,2022-2026,semester,active
bus-alloc-00086,STU-01617,route-03,Kukatpally,2024-2028,annual,active
bus-alloc-00087,STU-02737,route-09,Kandlakoya,2022-2026,semester,active
bus-alloc-00088,STU-02182,route-04,Pragathi Nagar,2024-2028,annual,active
bus-alloc-00089,STU-01994,route-07,Dundigal,2022-2026,semester,active
bus-alloc-00090,STU-01741,route-02,Alwal,2023-2027,annual,active
bus-alloc-00091,STU-00936,route-09,Kandlakoya,2025-2029,annual,active
bus-alloc-00092,STU-01139,route-03,KPHB,2023-2027,annual,active
bus-alloc-00093,STU-02488,route-07,Quthbullapur,2023-2027,semester,active
bus-alloc-00094,STU-00821,route-05,Neredmet,2024-2028,semester,active
bus-alloc-00095,STU-01194,route-02,Kandlakoya,2023-2027,annual,active
bus-alloc-00096,STU-00241,route-06,Medchal Market,2024-2028,semester,active
bus-alloc-00097,STU-00444,route-10,Sangareddy Bypass,2025-2029,annual,active
bus-alloc-00098,STU-00753,route-08,Lalapet,2024-2028,semester,active
bus-alloc-00099,STU-02495,route-04,Kandlakoya,2023-2027,annual,active
bus-alloc-00100,STU-01576,route-03,Ameerpet,2024-2028,semester,active
bus-alloc-00101,STU-02420,route-01,Trimulgherry,2022-2026,semester,active
bus-alloc-00102,STU-02823,route-01,Malkajgiri,2023-2027,annual,active
bus-alloc-00103,STU-01218,route-07,Dundigal,2024-2028,annual,active
bus-alloc-00104,STU-00030,route-04,Medchal Chowrasta,2022-2026,annual,active
bus-alloc-00105,STU-03176,route-07,Medchal,2022-2026,annual,active
bus-alloc-00106,STU-03083,route-03,Bachupally,2025-2029,annual,active
bus-alloc-00107,STU-00772,route-01,Trimulgherry,2024-2028,semester,active
bus-alloc-00108,STU-03178,route-06,Kandlakoya,2022-2026,annual,active
bus-alloc-00109,STU-03350,route-10,Patancheru,2025-2029,annual,active
bus-alloc-00110,STU-00055,route-07,Quthbullapur,2022-2026,annual,active
bus-alloc-00111,STU-01884,route-07,BHEL Township,2025-2029,annual,active
bus-alloc-00112,STU-03133,route-05,Neredmet,2022-2026,semester,active
bus-alloc-00113,STU-02444,route-07,Dundigal,2022-2026,semester,active
bus-alloc-00114,STU-01004,route-08,Lalapet,2022-2026,annual,active
bus-alloc-00115,STU-03110,route-02,ECIL,2025-2029,annual,active
bus-alloc-00116,STU-02137,route-10,Patancheru,2023-2027,annual,active
bus-alloc-00117,STU-00769,route-02,Uppal,2024-2028,semester,active
bus-alloc-00118,STU-00943,route-08,Lalapet,2025-2029,semester,active
bus-alloc-00119,STU-00626,route-02,Alwal,2023-2027,annual,active
bus-alloc-00120,STU-03192,route-08,Lalapet,2023-2027,semester,active
bus-alloc-00121,STU-00969,route-05,Sainikpuri,2022-2026,annual,active
bus-alloc-00122,STU-01885,route-03,Bachupally,2025-2029,annual,active
bus-alloc-00123,STU-02590,route-04,Pragathi Nagar,2025-2029,annual,active
bus-alloc-00124,STU-00922,route-02,ECIL,2025-2029,semester,active
bus-alloc-00125,STU-01632,route-07,Kandlakoya,2025-2029,annual,active
bus-alloc-00126,STU-01376,route-05,Neredmet,2025-2029,annual,active
bus-alloc-00127,STU-02955,route-01,Yapral,2024-2028,semester,active
bus-alloc-00128,STU-01077,route-09,Kandlakoya,2022-2026,annual,active
bus-alloc-00129,STU-02110,route-02,Kandlakoya,2023-2027,annual,active
bus-alloc-00130,STU-03075,route-03,SR Nagar,2025-2029,annual,active
bus-alloc-00131,STU-01260,route-01,Kandlakoya,2024-2028,annual,active
bus-alloc-00132,STU-02937,route-03,KPHB,2024-2028,semester,active
bus-alloc-00133,STU-00207,route-06,Medchal MMTS,2023-2027,semester,active
bus-alloc-00134,STU-01939,route-02,Dilsukhnagar,2022-2026,annual,active
bus-alloc-00135,STU-01066,route-04,Kandlakoya,2022-2026,semester,active
bus-alloc-00136,STU-02818,route-03,SR Nagar,2023-2027,semester,active
bus-alloc-00137,STU-00468,route-02,Dilsukhnagar,2025-2029,semester,active
bus-alloc-00138,STU-00743,route-01,Trimulgherry,2024-2028,semester,active
bus-alloc-00139,STU-03236,route-07,Medchal,2023-2027,annual,active
bus-alloc-00140,STU-00714,route-07,Medchal,2023-2027,annual,active
bus-alloc-00141,STU-02153,route-06,Medchal Market,2023-2027,annual,active
bus-alloc-00142,STU-00418,route-05,Neredmet,2025-2029,semester,active
bus-alloc-00143,STU-00762,route-03,Ameerpet,2024-2028,annual,active
bus-alloc-00144,STU-01252,route-05,Alwal,2024-2028,semester,active
bus-alloc-00145,STU-00315,route-09,Bollaram,2024-2028,annual,active
bus-alloc-00146,STU-00594,route-02,Neredmet,2022-2026,semester,active
bus-alloc-00147,STU-00003,route-03,Medchal,2022-2026,annual,active
bus-alloc-00148,STU-01915,route-09,IDA Jeedimetla,2025-2029,annual,active
bus-alloc-00149,STU-03101,route-07,Dundigal,2025-2029,semester,active
bus-alloc-00150,STU-01422,route-09,Bollaram,2025-2029,semester,active
bus-alloc-00151,STU-02363,route-10,Medchal,2025-2029,semester,active
bus-alloc-00152,STU-00017,route-07,Dundigal,2022-2026,annual,active
bus-alloc-00153,STU-03211,route-01,Malkajgiri,2023-2027,annual,active
bus-alloc-00154,STU-00857,route-01,Kandlakoya,2025-2029,semester,active
bus-alloc-00155,STU-02116,route-01,Kandlakoya,2023-2027,semester,active
bus-alloc-00156,STU-01877,route-09,Suraram,2025-2029,annual,active
bus-alloc-00157,STU-02538,route-03,SR Nagar,2024-2028,annual,active
bus-alloc-00158,STU-03044,route-04,Pragathi Nagar,2025-2029,annual,active
bus-alloc-00159,STU-02601,route-04,Medchal Chowrasta,2025-2029,semester,active
bus-alloc-00160,STU-00897,route-06,Medchal Market,2025-2029,annual,active
bus-alloc-00161,STU-01705,route-04,Medchal Chowrasta,2022-2026,semester,active
bus-alloc-00162,STU-01672,route-06,Medchal MMTS,2025-2029,semester,active
bus-alloc-00163,STU-00713,route-10,Medchal,2023-2027,annual,active
bus-alloc-00164,STU-00979,route-10,Isnapur,2022-2026,semester,active
bus-alloc-00165,STU-01425,route-09,Suraram,2025-2029,annual,active
bus-alloc-00166,STU-00652,route-08,Bolarum,2023-2027,annual,active
bus-alloc-00167,STU-01090,route-01,Trimulgherry,2023-2027,annual,active
bus-alloc-00168,STU-00851,route-01,Kompally,2025-2029,semester,active
bus-alloc-00169,STU-01892,route-01,Malkajgiri,2025-2029,annual,active
bus-alloc-00170,STU-02711,route-03,Nizampet,2022-2026,annual,active
bus-alloc-00171,STU-02570,route-06,Medchal MMTS,2024-2028,annual,active
bus-alloc-00172,STU-01580,route-03,Kukatpally,2024-2028,annual,active
bus-alloc-00173,STU-00959,route-09,Suraram,2025-2029,annual,active
bus-alloc-00174,STU-02266,route-06,Kandlakoya,2024-2028,annual,active
bus-alloc-00175,STU-01177,route-06,Medchal Chowrasta,2023-2027,semester,active
bus-alloc-00176,STU-02350,route-03,Kukatpally,2025-2029,semester,active
bus-alloc-00177,STU-00134,route-08,Kandlakoya,2023-2027,semester,active
bus-alloc-00178,STU-01921,route-03,Nizampet,2022-2026,annual,active
bus-alloc-00179,STU-00307,route-10,Isnapur,2024-2028,semester,active
bus-alloc-00180,STU-03154,route-05,Kandlakoya,2022-2026,semester,active
bus-alloc-00181,STU-00041,route-03,Kukatpally,2022-2026,annual,active
bus-alloc-00182,STU-01319,route-10,Dundigal,2024-2028,annual,active
bus-alloc-00183,STU-02492,route-03,Nizampet,2023-2027,annual,active
bus-alloc-00184,STU-03058,route-10,Patancheru,2025-2029,semester,active
bus-alloc-00185,STU-00218,route-03,Nizampet,2023-2027,annual,active
bus-alloc-00186,STU-02512,route-04,Pragathi Nagar,2023-2027,semester,active
bus-alloc-00187,STU-01199,route-03,SR Nagar,2023-2027,semester,active
bus-alloc-00188,STU-00810,route-08,Bolarum,2024-2028,semester,active
bus-alloc-00189,STU-02554,route-04,Chandanagar,2024-2028,annual,active
bus-alloc-00190,STU-02364,route-06,Medchal Chowrasta,2025-2029,annual,active
bus-alloc-00191,STU-00066,route-01,Secunderabad,2022-2026,semester,active
bus-alloc-00192,STU-00766,route-08,Kandlakoya,2024-2028,semester,active
bus-alloc-00193,STU-00054,route-03,Medchal,2022-2026,semester,active
bus-alloc-00194,STU-01456,route-07,Dundigal,2022-2026,semester,active
bus-alloc-00195,STU-02717,route-02,Kandlakoya,2022-2026,annual,active
bus-alloc-00196,STU-02371,route-03,Kandlakoya,2025-2029,annual,active
bus-alloc-00197,STU-00046,route-01,Malkajgiri,2022-2026,annual,active
bus-alloc-00198,STU-02081,route-06,Medchal Chowrasta,2023-2027,annual,active
bus-alloc-00199,STU-01201,route-02,Alwal,2024-2028,annual,active
bus-alloc-00200,STU-01423,route-07,BHEL Township,2025-2029,annual,active
bus-alloc-00201,STU-02328,route-09,Jeedimetla,2025-2029,semester,active
bus-alloc-00202,STU-00543,route-10,Medchal,2022-2026,semester,active
bus-alloc-00203,STU-02401,route-01,Yapral,2022-2026,annual,active
bus-alloc-00204,STU-02956,route-10,Dundigal,2024-2028,annual,active
bus-alloc-00205,STU-02006,route-01,Secunderabad,2022-2026,semester,active
bus-alloc-00206,STU-02668,route-04,Chandanagar,2022-2026,semester,active
bus-alloc-00207,STU-01564,route-09,Kandlakoya,2024-2028,semester,active
bus-alloc-00208,STU-02719,route-05,Neredmet,2022-2026,annual,active
bus-alloc-00209,STU-02991,route-02,Dilsukhnagar,2024-2028,semester,active
bus-alloc-00210,STU-01353,route-10,Medchal,2025-2029,semester,active
bus-alloc-00211,STU-00379,route-03,Ameerpet,2025-2029,semester,active
bus-alloc-00212,STU-01930,route-01,Yapral,2022-2026,annual,active
bus-alloc-00213,STU-03303,route-05,Kandlakoya,2025-2029,semester,active
bus-alloc-00214,STU-00244,route-04,Miyapur,2024-2028,annual,active
bus-alloc-00215,STU-03251,route-04,Chandanagar,2024-2028,semester,active
bus-alloc-00216,STU-02162,route-02,Kandlakoya,2024-2028,annual,active
bus-alloc-00217,STU-02814,route-05,Alwal,2023-2027,semester,active
bus-alloc-00218,STU-01176,route-08,Kandlakoya,2023-2027,semester,active
bus-alloc-00219,STU-02548,route-02,Medchal,2024-2028,annual,active
bus-alloc-00220,STU-02238,route-06,Kandlakoya,2024-2028,semester,active
bus-alloc-00221,STU-00044,route-03,Kandlakoya,2022-2026,annual,active
bus-alloc-00222,STU-00628,route-05,Alwal,2023-2027,semester,active
bus-alloc-00223,STU-02822,route-05,AS Rao Nagar,2023-2027,semester,active
bus-alloc-00224,STU-00187,route-10,Patancheru,2023-2027,annual,active
bus-alloc-00225,STU-00498,route-02,LB Nagar,2022-2026,semester,active
bus-alloc-00226,STU-02030,route-09,Bollaram,2022-2026,annual,active
bus-alloc-00227,STU-00882,route-09,Jeedimetla,2025-2029,semester,active
bus-alloc-00228,STU-01299,route-09,Bollaram,2024-2028,semester,active
bus-alloc-00229,STU-02566,route-10,Isnapur,2024-2028,semester,active
bus-alloc-00230,STU-01820,route-05,Sainikpuri,2024-2028,semester,active
bus-alloc-00231,STU-01270,route-01,Kompally,2024-2028,annual,active
bus-alloc-00232,STU-00240,route-02,Kandlakoya,2023-2027,annual,active
bus-alloc-00233,STU-01393,route-03,KPHB,2025-2029,annual,active
bus-alloc-00234,STU-01318,route-03,Ameerpet,2024-2028,semester,active
bus-alloc-00235,STU-00289,route-02,Medchal,2024-2028,annual,active
bus-alloc-00236,STU-00647,route-03,Bachupally,2023-2027,semester,active
bus-alloc-00237,STU-00948,route-02,LB Nagar,2025-2029,semester,active
bus-alloc-00238,STU-01084,route-09,Bollaram,2023-2027,semester,active
bus-alloc-00239,STU-00521,route-05,Medchal,2022-2026,semester,active
bus-alloc-00240,STU-01547,route-01,Kandlakoya,2023-2027,semester,active
bus-alloc-00241,STU-01458,route-02,Medchal,2022-2026,annual,active
bus-alloc-00242,STU-02174,route-03,SR Nagar,2024-2028,annual,active
bus-alloc-00243,STU-01197,route-10,Patancheru,2023-2027,semester,active
bus-alloc-00244,STU-02286,route-09,Suraram,2025-2029,semester,active
bus-alloc-00245,STU-00578,route-05,Alwal,2022-2026,semester,active
bus-alloc-00246,STU-02607,route-10,Medchal,2025-2029,semester,active
bus-alloc-00247,STU-03342,route-01,Trimulgherry,2025-2029,semester,active
bus-alloc-00248,STU-00825,route-07,BHEL Township,2024-2028,semester,active
bus-alloc-00249,STU-02242,route-01,Yapral,2024-2028,semester,active
bus-alloc-00250,STU-01833,route-04,Miyapur,2024-2028,semester,active
bus-alloc-00251,STU-00474,route-05,Neredmet,2025-2029,annual,active
bus-alloc-00252,STU-00896,route-06,Medchal Chowrasta,2025-2029,semester,active
bus-alloc-00253,STU-02576,route-05,Alwal,2024-2028,annual,active
bus-alloc-00254,STU-02068,route-04,Chandanagar,2023-2027,semester,active
bus-alloc-00255,STU-00674,route-08,Lalapet,2023-2027,semester,active
bus-alloc-00256,STU-00367,route-07,Kandlakoya,2025-2029,annual,active
bus-alloc-00257,STU-00354,route-04,Bachupally,2024-2028,annual,active
bus-alloc-00258,STU-02826,route-07,Medchal,2023-2027,semester,active
bus-alloc-00259,STU-01689,route-01,Kompally,2022-2026,annual,active
bus-alloc-00260,STU-02768,route-02,Neredmet,2023-2027,semester,active
bus-alloc-00261,STU-01503,route-03,Ameerpet,2023-2027,annual,active
bus-alloc-00262,STU-01304,route-04,Chandanagar,2024-2028,annual,active
bus-alloc-00263,STU-02300,route-04,Miyapur,2025-2029,semester,active
bus-alloc-00264,STU-01081,route-01,Malkajgiri,2023-2027,annual,active
bus-alloc-00265,STU-01052,route-05,Neredmet,2022-2026,semester,active
bus-alloc-00266,STU-00531,route-09,Bollaram,2022-2026,annual,active
bus-alloc-00267,STU-00817,route-01,Trimulgherry,2024-2028,semester,active
bus-alloc-00268,STU-00806,route-08,Medchal,2024-2028,semester,active
bus-alloc-00269,STU-01890,route-03,Kandlakoya,2025-2029,semester,active
bus-alloc-00270,STU-00064,route-06,Medchal Market,2022-2026,semester,active
bus-alloc-00271,STU-01364,route-02,Neredmet,2025-2029,annual,active
bus-alloc-00272,STU-01335,route-07,Quthbullapur,2025-2029,annual,active
bus-alloc-00273,STU-02817,route-10,Isnapur,2023-2027,annual,active
bus-alloc-00274,STU-01606,route-04,Kandlakoya,2024-2028,annual,active
bus-alloc-00275,STU-00604,route-05,Kandlakoya,2023-2027,semester,active
bus-alloc-00276,STU-01849,route-09,Jeedimetla,2024-2028,annual,active
bus-alloc-00277,STU-02626,route-08,Hakimpet,2025-2029,annual,active
bus-alloc-00278,STU-02086,route-10,Patancheru,2023-2027,annual,active
bus-alloc-00279,STU-00317,route-05,Medchal,2024-2028,semester,active
bus-alloc-00280,STU-00348,route-05,Alwal,2024-2028,semester,active
bus-alloc-00281,STU-00767,route-06,Kandlakoya,2024-2028,semester,active
bus-alloc-00282,STU-02357,route-04,Bachupally,2025-2029,semester,active
bus-alloc-00283,STU-01819,route-09,Medchal,2024-2028,semester,active
bus-alloc-00284,STU-00830,route-10,Patancheru,2024-2028,annual,active
bus-alloc-00285,STU-01407,route-09,Kandlakoya,2025-2029,semester,active
bus-alloc-00286,STU-01951,route-09,Kandlakoya,2022-2026,semester,active
bus-alloc-00287,STU-02888,route-05,Kandlakoya,2024-2028,annual,active
bus-alloc-00288,STU-00683,route-08,Bolarum,2023-2027,semester,active
bus-alloc-00289,STU-02671,route-05,Kandlakoya,2022-2026,semester,active
bus-alloc-00290,STU-00279,route-05,Neredmet,2024-2028,semester,active
bus-alloc-00291,STU-02499,route-04,Chandanagar,2023-2027,annual,active
bus-alloc-00292,STU-01711,route-01,Kandlakoya,2022-2026,semester,active
bus-alloc-00293,STU-00288,route-06,Medchal Market,2024-2028,annual,active
bus-alloc-00294,STU-00983,route-08,Lalapet,2022-2026,semester,active
bus-alloc-00295,STU-02864,route-07,Medchal,2023-2027,semester,active
bus-alloc-00296,STU-00778,route-01,Kompally,2024-2028,annual,active
bus-alloc-00297,STU-03243,route-06,Medchal Market,2024-2028,semester,active
bus-alloc-00298,STU-02589,route-06,Medchal Chowrasta,2025-2029,annual,active
bus-alloc-00299,STU-01308,route-09,IDA Jeedimetla,2024-2028,semester,active
bus-alloc-00300,STU-03224,route-02,Kandlakoya,2023-2027,annual,active
bus-alloc-00301,STU-00297,route-05,Kandlakoya,2024-2028,annual,active
bus-alloc-00302,STU-02543,route-06,Medchal MMTS,2024-2028,annual,active
bus-alloc-00303,STU-02164,route-06,Medchal Market,2024-2028,semester,active
bus-alloc-00304,STU-00265,route-07,Dundigal,2024-2028,semester,active
bus-alloc-00305,STU-00904,route-05,Medchal,2025-2029,semester,active
bus-alloc-00306,STU-00649,route-08,Bolarum,2023-2027,semester,active
bus-alloc-00307,STU-00408,route-01,Kandlakoya,2025-2029,annual,active
bus-alloc-00308,STU-01912,route-08,Hakimpet,2025-2029,annual,active
bus-alloc-00309,STU-00684,route-07,Kandlakoya,2023-2027,semester,active
bus-alloc-00310,STU-01924,route-07,Quthbullapur,2022-2026,annual,active
bus-alloc-00311,STU-01085,route-03,KPHB,2023-2027,semester,active
bus-alloc-00312,STU-02484,route-07,Kandlakoya,2023-2027,semester,active
bus-alloc-00313,STU-02619,route-03,Nizampet,2025-2029,annual,active
bus-alloc-00314,STU-03195,route-02,Kandlakoya,2023-2027,semester,active
bus-alloc-00315,STU-00429,route-03,Nizampet,2025-2029,annual,active
bus-alloc-00316,STU-01699,route-01,Yapral,2022-2026,semester,active
bus-alloc-00317,STU-00373,route-04,Chandanagar,2025-2029,annual,active
bus-alloc-00318,STU-00233,route-08,Bolarum,2023-2027,annual,active
bus-alloc-00319,STU-00801,route-10,Dundigal,2024-2028,semester,active
bus-alloc-00320,STU-02360,route-07,Medchal,2025-2029,semester,active
bus-alloc-00321,STU-01864,route-07,Quthbullapur,2025-2029,annual,active
bus-alloc-00322,STU-01022,route-09,IDA Jeedimetla,2022-2026,semester,active
bus-alloc-00323,STU-00439,route-01,Malkajgiri,2025-2029,annual,active
bus-alloc-00324,STU-02828,route-01,Quthbullapur,2023-2027,annual,active
bus-alloc-00325,STU-00902,route-04,Chandanagar,2025-2029,semester,active
bus-alloc-00326,STU-00645,route-05,AS Rao Nagar,2023-2027,annual,active
bus-alloc-00327,STU-00860,route-07,Kandlakoya,2025-2029,semester,active
bus-alloc-00328,STU-00992,route-03,SR Nagar,2022-2026,annual,active
bus-alloc-00329,STU-02082,route-05,Neredmet,2023-2027,semester,active
bus-alloc-00330,STU-03285,route-09,Medchal,2024-2028,semester,active
bus-alloc-00331,STU-00461,route-07,BHEL Township,2025-2029,semester,active
bus-alloc-00332,STU-01555,route-08,Lalapet,2023-2027,annual,active
bus-alloc-00333,STU-01966,route-03,Medchal,2022-2026,annual,active
bus-alloc-00334,STU-01835,route-04,Chandanagar,2024-2028,annual,active
bus-alloc-00335,STU-01814,route-04,Kandlakoya,2024-2028,annual,active
bus-alloc-00336,STU-03223,route-10,Medchal,2023-2027,annual,active
bus-alloc-00337,STU-03230,route-02,Alwal,2023-2027,annual,active
bus-alloc-00338,STU-00956,route-07,Dundigal,2025-2029,annual,active
bus-alloc-00339,STU-02513,route-10,Patancheru,2023-2027,annual,active
bus-alloc-00340,STU-02287,route-01,Secunderabad,2025-2029,annual,active
bus-alloc-00341,STU-01463,route-07,Medchal,2022-2026,semester,active
bus-alloc-00342,STU-02511,route-02,Neredmet,2023-2027,semester,active
bus-alloc-00343,STU-01683,route-03,KPHB,2022-2026,annual,active
bus-alloc-00344,STU-01509,route-05,Alwal,2023-2027,annual,active
bus-alloc-00345,STU-01278,route-09,Suraram,2024-2028,annual,active
bus-alloc-00346,STU-01500,route-07,Quthbullapur,2022-2026,annual,active
bus-alloc-00347,STU-02334,route-05,Sainikpuri,2025-2029,annual,active
bus-alloc-00348,STU-00025,route-08,Hakimpet,2022-2026,annual,active
bus-alloc-00349,STU-02387,route-05,Medchal,2025-2029,annual,active
bus-alloc-00350,STU-02009,route-06,Kandlakoya,2022-2026,semester,active
bus-alloc-00351,STU-01644,route-03,Ameerpet,2025-2029,semester,active
bus-alloc-00352,STU-02131,route-04,Kandlakoya,2023-2027,semester,active
bus-alloc-00353,STU-00491,route-06,Medchal Market,2022-2026,annual,active
bus-alloc-00354,STU-00398,route-01,Quthbullapur,2025-2029,annual,active
bus-alloc-00355,STU-01902,route-02,Kandlakoya,2025-2029,annual,active
bus-alloc-00356,STU-00723,route-02,LB Nagar,2024-2028,annual,active
bus-alloc-00357,STU-00078,route-05,Kandlakoya,2022-2026,annual,active
bus-alloc-00358,STU-00117,route-08,Lalapet,2022-2026,semester,active
bus-alloc-00359,STU-02816,route-08,Bolarum,2023-2027,annual,active
bus-alloc-00360,STU-03163,route-03,Ameerpet,2022-2026,semester,active
bus-alloc-00361,STU-00634,route-06,Medchal Chowrasta,2023-2027,semester,active
bus-alloc-00362,STU-02481,route-02,LB Nagar,2023-2027,annual,active
bus-alloc-00363,STU-02213,route-01,Kandlakoya,2024-2028,annual,active
bus-alloc-00364,STU-00008,route-03,Nizampet,2022-2026,semester,active
bus-alloc-00365,STU-02094,route-08,Medchal,2023-2027,semester,active
bus-alloc-00366,STU-01803,route-02,Alwal,2024-2028,semester,active
bus-alloc-00367,STU-01901,route-03,SR Nagar,2025-2029,semester,active
